repo_id,module,test_scope,build_tool,human_score_pct,ai_score_pct,delta,human_timestamp,ai_only_timestamp,human_run_dir,ai_only_run_dir,human_mutations_generated,ai_only_mutations_generated,human_mutations_killed,ai_only_mutations_killed,human_mutations_survived,ai_only_mutations_survived,human_error_type,ai_only_error_type
10016717,spanners-mvc,focal,maven,100.000000,100.000000,0.000000,20260412T180131Z,20260412T180150Z,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260412T180131Z_10016717_spanners-mvc_HUMAN_focal_maven,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260412T180150Z_10016717_spanners-mvc_AI_ONLY_focal_maven,1,1,1,1,0,0,,
100464616,game-engine,focal,maven,84.967320,100.000000,15.032680,20260412T181018Z,20260412T181052Z,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260412T181018Z_100464616_game-engine_HUMAN_focal_maven,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260412T181052Z_100464616_game-engine_AI_ONLY_focal_maven,248,248,130,3,23,0,,
10065023,tutorials/WorkflowExample,focal,maven,100.000000,66.666667,-33.333333,WorkflowExample,WorkflowExample,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260412T182033Z_10065023_tutorials\WorkflowExample_HUMAN_focal_maven,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260412T182059Z_10065023_tutorials\WorkflowExample_AI_ONLY_focal_maven,3,3,3,2,0,1,,
100874896,kcp-netty,focal,maven,75.510204,78.571429,3.061225,20260412T183247Z,20260412T183322Z,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260412T183247Z_100874896_kcp-netty_HUMAN_focal_maven,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260412T183322Z_100874896_kcp-netty_AI_ONLY_focal_maven,212,212,37,33,12,9,,
102170678,catalog-vertx,focal,maven,0.000000,0.000000,0.000000,20260412T190812Z,20260412T190902Z,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260412T190812Z_102170678_catalog-vertx_HUMAN_focal_maven,D:\Khedma\Mr wiem\mutation-test-pipeline\logs\runs\20260412T190902Z_102170678_catalog-vertx_AI_ONLY_focal_maven,23,23,0,0,0,0,,
